Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Estimated_Recreational_hr,Estimated_Educational_hr,Threshold_Limit_hr
14,Male,3.99,Smartphone,True,0.42,"Poor Sleep, Eye Strain",Urban,2.809859154929578,1.1801408450704223,4.0
11,Female,4.61,Laptop,True,0.3,Poor Sleep,Urban,3.5461538461538464,1.0638461538461539,4.0
18,Female,3.73,TV,True,0.32,Poor Sleep,Urban,2.8257575757575757,0.9042424242424243,6.0
15,Female,1.21,Laptop,False,0.39,,Urban,0.8705035971223021,0.3394964028776979,6.0
12,Female,5.89,Smartphone,True,0.49,"Poor Sleep, Anxiety",Urban,3.9530201342281877,1.936979865771812,4.0
14,Female,4.88,Smartphone,True,0.44,Poor Sleep,Urban,3.388888888888889,1.491111111111111,4.0
17,Male,2.97,TV,False,0.48,,Rural,2.006756756756757,0.9632432432432432,6.0
10,Male,2.74,TV,True,0.54,,Urban,1.7792207792207793,0.960779220779221,2.0
14,Male,4.61,Laptop,True,0.36,"Poor Sleep, Anxiety",Rural,3.3897058823529416,1.2202941176470588,4.0
18,Male,3.24,Tablet,True,0.48,"Poor Sleep, Obesity Risk",Urban,2.1891891891891895,1.0508108108108107,6.0
18,Male,3.53,Tablet,True,0.44,Poor Sleep,Rural,2.451388888888889,1.078611111111111,6.0
15,Female,4.94,TV,True,0.36,Poor Sleep,Rural,3.632352941176471,1.3076470588235294,6.0
12,Male,4.59,Smartphone,True,0.43,Poor Sleep,Urban,3.20979020979021,1.3802097902097898,4.0
11,Male,6.08,TV,True,0.48,Eye Strain,Rural,4.108108108108108,1.9718918918918922,4.0
15,Male,6.15,Smartphone,True,0.4,Poor Sleep,Urban,4.392857142857143,1.7571428571428571,6.0
15,Female,3.69,Smartphone,True,0.34,Poor Sleep,Urban,2.7537313432835817,0.9362686567164182,6.0
10,Female,7.1,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Rural,4.965034965034965,2.1349650349650346,2.0
13,Female,6.98,Smartphone,True,0.48,Obesity Risk,Urban,4.716216216216217,2.2637837837837838,4.0
12,Male,3.82,Smartphone,True,0.4,Anxiety,Urban,2.7285714285714286,1.0914285714285712,4.0
9,Female,0.0,TV,False,0.42,,Urban,0.0,0.0,2.0
15,Male,3.85,Smartphone,True,0.49,Obesity Risk,Urban,2.5838926174496644,1.2661073825503357,6.0
13,Female,4.05,Smartphone,True,0.33,Eye Strain,Urban,3.045112781954887,1.0048872180451127,4.0
9,Female,1.63,Tablet,False,0.58,,Urban,1.0316455696202531,0.5983544303797468,2.0
12,Female,6.78,TV,True,0.33,Eye Strain,Urban,5.097744360902255,1.682255639097745,4.0
8,Male,3.19,Tablet,True,0.54,"Poor Sleep, Anxiety, Obesity Risk",Urban,2.071428571428571,1.1185714285714288,2.0
17,Male,4.96,Smartphone,True,0.32,,Urban,3.7575757575757573,1.2024242424242426,6.0
13,Female,1.85,Smartphone,False,0.49,,Urban,1.2416107382550337,0.6083892617449664,4.0
16,Male,4.22,Smartphone,True,0.5,Poor Sleep,Urban,2.813333333333333,1.4066666666666667,6.0
8,Male,0.31,Smartphone,False,0.51,,Urban,0.2052980132450331,0.10470198675496689,2.0
18,Male,5.13,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,3.5874125874125875,1.5425874125874124,6.0
18,Male,4.45,Smartphone,True,0.48,Eye Strain,Urban,3.006756756756757,1.4432432432432432,6.0
17,Female,3.02,Smartphone,True,0.39,,Rural,2.172661870503597,0.8473381294964031,6.0
10,Male,2.16,Tablet,True,0.41,,Urban,1.5319148936170215,0.6280851063829787,2.0
